#,单词,音标,解释,笔记
1655,"people","英:/ˈpiːpl/ 美:/ˈpiːpl/","- n. 人；人类；民族；公民
- vt. 居住于；使住满人",
1656,"pension","英:/ˈpenʃn/ 美:/ˈpenʃn/","- n. 津贴；退休金，抚恤金；膳宿费
- vt. 发给养老金或抚恤金


时 态:  
pensioned, pensioning, pensions 

形容词:  
pensionable",
1657,"pend","/pend/","- vi. 悬而未决
- vt. 推迟对…的决定；使悬而不决
- n. （苏格兰）挂件",
1658,"peer","英:/pɪə(r)/ 美:/pɪr/","- vi. 凝视，盯着看；窥视
- vt. 封为贵族；与…同等
- n. 贵族；同等的人


时 态:  
peered, peering, peers",
1659,"peel","英:/piːl/ 美:/piːl/","- vt. 削[剥]去(水果或蔬菜的皮)
- vi. 剥落；脱落
- n. 果皮，蔬菜皮

时 态:  
peeled，peeling，peels",
1660,"pedestrian","英:/pəˈdestriən/ 美:/pəˈdestriən/","n. 步行者

名 词:  
pedestrianism",
1661,"pearl","英:/pɜːl/ 美:/pɜːrl/","- n. 珍珠；杰出者；珍珠色；珍品
- adj. 镶珍珠的；珍珠状的
- vi. 采珍珠；成珍珠状
- vt. 使成珠状；用珍珠装饰；使呈珍珠色

Pearln. 珀尔（女子名）

时 态:  
pearled, pearling, pearls",
1662,"pear","英:/peə(r)/ 美:/per/","n. 梨树；梨子",
1663,"peak","英:/piːk/ 美:/piːk/","- n. 顶点；山峰；最高点；帽舌
- vt. 使达到最高点；使竖起
- vi. 消瘦；到达最高点；变憔悴
- adj. 最高的；最大值的


时 态:  
peaked, peaking, peaks",
1664,"payment","英:/ˈpeɪmənt/ 美:/ˈpeɪmənt/","- n. 支付, 付款, 缴纳, 报酬
- 付出的[要付出的]款项
- 报答, 报偿",
1665,"payday","英:/ˈpeɪdeɪ/ 美:/ˈpeɪdeɪ/","n. 交割日；发薪日",
1666,"pay","英:/peɪ/ 美:/peɪ/","- vt. 支付，付；偿还，补偿
- vi. 付款；偿还
- n. 工资，薪水；付款


时 态:  
paid 
paying, pays",
1667,"pave","英:/peɪv/ 美:/peɪv/","vt. 铺设；安排；作铺设之用


时 态:  
paved, paving, paves 

名 词:  
paver",
1668,"patron","英:/ˈpeɪtrən/ 美:/ˈpeɪtrən/","n. 赞助人；保护人；主顾


形容词:  
patronal",
1669,"patio","英:/'pætɪəʊ/ 美:/'pætɪo/","n. 天井；露台",
1670,"patiently","英:/'peiʃəntli/ 美:/ˈpeʃəntlɪ/","adv. 耐心地;坚韧不拔地",
1671,"patient","英:/ˈpeɪʃnt/ 美:/ˈpeɪʃnt/","- adj. 忍耐的, 有耐心的
- n. 患者, 病人

副 词:  
patiently",
1672,"path","英:/pɑːθ/ 美:/pæθ/","n. 小路；道路；轨道",
1673,"patent","英:/ˈpætnt，ˈpeɪtnt/ 美:/ˈpætnt/","- vt. 取得…的专利权；授予专利
- adj. 专利的；新奇的；显然的
- n. 专利权；专利品；执照


时 态:  
patented, patenting, patents 

名 词:  
patentability",
1674,"pastry","英:/ˈpeɪstri/ 美:/ˈpeɪstri/","n. 油酥点心；面粉糕饼",
1675,"pastrami","英:/pəˈstrɑːmi/ 美:/pəˈstrɑːmi/","n. 熏牛肉之一种；五香烟熏牛肉",
1676,"pastime","英:/ˈpɑːstaɪm/ 美:/ˈpæstaɪm/","n. 消遣, 娱乐",
1677,"past","英:/pɑːst/ 美:/pæst/","- n. 过去；往事
- adj. 过去的；结束的
- prep. 越过；晚于
- adv. 经过；过",
1678,"password","英:/ˈpɑːswɜːd/ 美:/ˈpæswɜːrd/","- n. (进入房间、建筑或某个地区的)口令
- (使用计算机操作系统的)密码
Password口令；口令(通行，保密)字(PW)",
1679,"passing","英:/'pɑːsɪŋ/ 美:/'pæsɪŋ/","- adj. 及格的；短暂的；经过的；目前的
- n. 经过；流逝；去世；及格
- adv. 非常
- v. 通过；及格；许可；传送（pass的ing形式）


副 词:  
passingly",
1680,"passenger","英:/ˈpæsɪndʒə(r)/ 美:/ˈpæsɪndʒər/","n. 乘客, 旅客",
1681,"passage","英:/ˈpæsɪdʒ/ 美:/ˈpæsɪdʒ/","n. 通路；走廊；一段（文章）


时 态:  
passaged, passaging, passages",
1682,"pass up","","放弃，拒绝",
1683,"pass","英:/pɑːs/ 美:/pæs/","- n. 及格；经过；护照；途径；[体]传球
- vi. 经过；传递；变化；终止
- vt. 通过；经过；传递


时 态:  
passed, passing, passes 

名 词:  
passer",
1684,"party","英:/ˈpɑːti/ 美:/ˈpɑːrti/","- n. 聚会，派对；政党，党派；[律]当事人
- vi. 参加社交聚会",
1685,"partnership","英:/ˈpɑːtnəʃɪp/ 美:/ˈpɑːrtnərʃɪp/","- n. 伙伴关系; 合伙人身份
- 合作关系; 合作
- 合伙企业",
1686,"partner","英:/ˈpɑːtnə(r)/ 美:/ˈpɑːrtnər/","- n. 合伙人；伙伴；配偶
- vi. 合伙；合股；成为搭档
- vt. 与…合伙；使合作

PARTNERabbr. Proof of Analogue ResultsthroughNumericalE-quivalent Routine 用数字等效程序验证模拟结果

时 态:  
partnered, partnering, partners",
1687,"partition","英:/pɑːˈtɪʃn/ 美:/pɑːrˈtɪʃn/","- n. 分开, 分割
- 分割物, 隔墙
- vt. 分开, 隔开

时 态:  
partitioned, partitioning, partitions 

名 词:  
partitioner

名 词:  
partitionment",
1688,"particularly","英:/pəˈtɪkjələli/ 美:/pərˈtɪkjələrli/","adv. 特别; 尤其",
1689,"particular","英:/pəˈtɪkjələ(r)/ 美:/pərˈtɪkjələr/","- adj. 特定的，某一的
- 特殊的，特别的，特有的
- (过分)讲究的，挑剔的
- 详细的，详尽的
- n. 详情；细目",
1690,"participation","英:/pɑːˌtɪsɪˈpeɪʃn/ 美:/pɑːrˌtɪsɪˈpeɪʃn/","- n. 参加,参与
- 分享

形容词:  
participational",
1691,"participate","英:/pɑːˈtɪsɪpeɪt/ 美:/pɑːrˈtɪsɪpeɪt/","vt. & vi. 参加, 参与

时 态:  
participated, participating, participates 

形容词:  
participative

名 词:  
participator",
1692,"participant","英:/pɑːˈtɪsɪpənt/ 美:/pɑːrˈtɪsɪpənt/","n. 参加者, 参与者

名 词:  
participance",
1693,"partially","英:/ˈpɑːʃəli/ 美:/ˈpɑːrʃəli/","- adv. 部分地
- 偏袒地;偏爱地",
1694,"partial","英:/ˈpɑːʃl/ 美:/ˈpɑːrʃl/","adj. 局部的；不公平的；[口]偏爱的


名 词:  
partialness",
1695,"part","英:/pɑːt/ 美:/pɑːrt/","- n. 一部分；局部
- 零件
- 角色
- vt. & vi. (使)分裂成几部分，断裂
- (使)分离[开]

时 态:  
parted，parting，parts",
1696,"parsley","英:/'pɑːslɪ/ 美:/'pɑrsli/","n. 西芹,欧芹",
1697,"parking","英:/ˈpɑ:kɪŋ/ 美:/'pɑrkɪŋ/","- n. 停车
- adj. 停车的
- v. 停车（park的ing形式）",
1698,"parker","英:/ˈpɑ:kə/ 美:/ˈpɑrkɚ/","停放车辆的人
Parker帕克(①姓氏, 男子名 ②Sir Gilbert, 1862-1932, 加拿大出生的英国小说家, 政治家)",
1699,"park","英:/pɑːk/ 美:/pɑrk/","- n. 公园
- 停车场
- vt. & vi. 泊车, 停车
- vt. 将…放置在某处

时 态:  
parked, parking, parks 

名 词:  
parker",
1700,"parent","英:/ˈpeərənt/ 美:/ˈperənt/","n. 父母亲；父亲（或母亲）；根源


时 态:  
parented, parenting, parents 

名 词:  
parenthood",
1701,"parched","/pɑrtʃt/","adj. 炎热的",
1702,"parcel","英:/ˈpɑːsl/ 美:/ˈpɑːrsl/","- n. 包裹
- 一块地
- vt. 给…打成包裹
- 分成若干部分

时 态:  
parceledalso parcelled 
parcelingparcelling 
parcelsparcels",
1703,"parasol","英:/'pærəsɒl/ 美:/'pærəsɔl/","n. 阳伞",
1704,"paragraph","英:/ˈpærəɡrɑːf/ 美:/ˈpærəɡræf/","- n. 段落
- 短篇报道

时 态:  
paragraphed, paragraphing, paragraphs",
1705,"parade","英:/pəˈreɪd/ 美:/pəˈreɪd/","- n. 游行；阅兵；行进；炫耀；阅兵场
- vt. 炫耀；游行；列队行进
- vi. 游行；列队行进；炫耀


时 态:  
paraded, parading, parades 

名 词:  
parader",
1706,"par","英:/pɑː/ 美:/pɑr/","- n. 票面价值；平均数量；标准
- adj. 标准的；票面的

PARabbr. Peak Average Rectified 修正的峰值平均值

时 态:  
parred, parring, pars",
1707,"paper","英:/ˈpeɪpə(r)/ 美:/ˈpeɪpər/","- n. 纸；文件；报纸；论文
- adj. 纸做的
- vt. 用纸糊；用纸包装
- vi. 贴糊墙纸；[美俚]发交通违章传票


时 态:  
papered, papering, papers",
1708,"pape","","",
1709,"pant","英:/pænt/ 美:/pænt/","- vi. 渴望；喘息；气喘吁吁地说出某事
- vt. 气喘
- n. 气喘；喘息；喷气声


时 态:  
panted, panting, pants",
1710,"panic","英:/ˈpænɪk/ 美:/ˈpænɪk/","- n. 恐慌，惊慌；大恐慌
- adj. 恐慌的；没有理由的
- vt. 使恐慌
- vi. 十分惊慌

Panic潘神的,牧人之神的

时 态:  
panicked, panicking, panics 

形容词:  
panicky",
1711,"panel","英:/ˈpænl/ 美:/ˈpænl/","- n. 仪表板；嵌板；座谈小组，全体陪审员
- vt. 嵌镶板


时 态:  
paneled, panelled 
paneling, panelling 
panels, panels",
1712,"pamphlet","英:/ˈpæmflət/ 美:/ˈpæmflət/","n. 小册子",
1713,"pallet","英:/'pælɪt/ 美:/'pælət/","n. 简陋小床；调色板；托盘，货板",
1714,"palatable","英:/ˈpælətəbl/ 美:/ˈpælətəbl/","- adj. 可口的,美味的
- 合意的,认可的,认同的
- adv. 合意地,可口地

副 词:  
palatably",
1715,"pair","英:/peə/ 美:/pɛr/","- n. 一副，一条，一把；一双，一对
- 一对男女，一对夫妇
- 雌雄成对的动物
- 套在一起的两匹马
- vt. & vi. (使…)成对，(使…)成双
- vi. 交配，交尾",
1716,"painting","英:/'peɪntɪŋ/ 美:/'pentɪŋ/","- n. 上油漆；绘画艺术
- (一幅)水彩画，油画",
1717,"painter","英:/ˈpeɪntə(r)/ 美:/ˈpeɪntər/","- n. 画家
- 油漆匠",
1718,"paint","英:/peɪnt/ 美:/peɪnt/","- n. 油漆，涂料
- 颜料
- 涂层，漆层
- 化妆品
- vt. & vi. 画；绘画
- vt. 在…上涂涂料[油漆]
- 涂，搽
- 描绘，描述

时 态:  
painted，painting，paints 

名 词:  
paintability

形容词:  
paintable",
1719,"page","英:/peidʒ/ 美:/pedʒ/","- n. 页；大事件，时期；记录；男侍者
- vt. 给…标页码
- vi. 翻书页，浏览

PAGE聚丙烯酰胺凝胶电泳
Page佩奇(姓氏)

时 态:  
paged, paging, pages",
1720,"packet","英:/ˈpækɪt/ 美:/ˈpækɪt/","- n. 数据包，信息包；小包，小捆
- vt. 包装，打包",
1721,"packed","英:/pækt/ 美:/pækt/","- adj. （常用来构成复合词）充满…的，塞满了…的
- v. 包装（pack的过去分词）",
1722,"package","英:/ˈpækɪdʒ/ 美:/ˈpækɪdʒ/","- vt. 把…包成一包
- 包装
- n. 包, 包裹, 包在一起的东西
- 一整套东西, 一揽子交易

时 态:  
packaged, packaging, packages 

名 词:  
packager",
1723,"pack","英:/pæk/ 美:/pæk/","- n. 包裹；一副；一群；包装；背包
- vt. 包装；压紧；捆扎；挑选；塞满
- vi. 包装货物；被包装；挤；群集


时 态:  
packed, packing, packs",
1724,"pacific","英:/pə'sɪfɪk/ 美:/pə'sɪfɪk/","adj. 和平的；平静的；温和的
n. 太平洋
adj. 太平洋的

Pacific
- n. 太平洋
- adj. 太平洋的

副 词:  
pacifically",
1725,"pace","英:/peɪs/ 美:/peɪs/","- vt. & vi. 踱步于，走动
- vt. 以步测量，步测
- 为…定步速
- n. 步速；计划进度
- 一步，步子
- 溜蹄，步法
PACEabbr. Performance and Cost Evaluation 性能与成本估价

时 态:  
paced，pacing，paces 

副 词:  
pace",
1726,"oxygen","英:/ˈɒksɪdʒən/ 美:/ˈɑːksɪdʒən/","n. 〈化〉氧, 氧气

形容词:  
oxygenic

形容词:  
oxygenous",
1727,"ownership","英:/ˈəʊnəʃɪp/ 美:/ˈoʊnərʃɪp/","n. 物主的身份；所有(权)，所有制",
1728,"owner","英:/ˈəʊnə(r)/ 美:/ˈoʊnər/","n. 所有者；物主",
1729,"overwork","英:/əʊvə'wɜːk/ 美:/'ovɚ'wɝk/","- vi. 工作过度
- vt. 工作过度
- n. 过度工作


时 态:  
overworked, overworking, overworks",
1730,"overtime","英:/ˈəʊvətaɪm/ 美:/ˈoʊvərtaɪm/","- n. 加班，加班时间；加班费；加时，加时赛
- adj. 超时的；加班的
- adv. 加班地；在规定（工作）时间之外


时 态:  
overtimed, overtiming, overtimes",
1731,"oversized","/'əuvə'saizd/","adj. 大于一般的，特大号的；太大的",
1732,"overseas","英:/ˌəʊvəˈsiːz/ 美:/ˌoʊvərˈsiːz/","- adv. 在海外，海外
- adj. 海外的，国外的",
1733,"overprice","英:/ˌəuvə'prais/ 美:/ˌovɚˈpraɪs/","v. 将…标价过高,索价过高

时 态:  
overpriced, overpricing, overprices",
1734,"overpass","英:/ˈəʊvəpɑːs/ 美:/ˈoʊvərpæs/","- vt. 胜过；超越；忽略
- n. 陆桥；天桥


时 态:  
overpassed, overpast  
overpassing, overpasses",
1735,"overnight","英:/ˌəʊvəˈnaɪt/ 美:/ˌoʊvərˈnaɪt/","- adv. 在晚上，在夜里
- 突然，很快
- adj. 一整夜的，晚上的
- 突然的；很快的

时 态:  
overnighted，overnighting，overnights",
1736,"overlook","英:/ˌəʊvəˈlʊk/ 美:/ˌoʊvərˈlʊk/","- vt.忽略；俯瞰；远眺；不计较，宽恕；施魔法于；监督；检查
- n.忽视；眺望；从高处能看到的景色

时 态:  
overlooked, overlooking, overlooks",
1737,"overhead","英:/ˌəʊvəˈhed/ 美:/ˌoʊvərˈhed/","- adj. 离地面的；头顶上的；上空的，架空的
- adv. 在头顶上；在空中
- 在楼上
- n. (企业的)经费",
1738,"overdue","英:/ˌəʊvəˈdjuː/ 美:/ˌoʊvərˈduː/","adj. 迟到的；过期的；未兑的",
1739,"overdrawn","英:/ˌəʊvəˈdrɔ:n/ 美:/ˌovɚ'drɔn/","(overdraw的过去分词)",
1740,"overdraft","英:/ˈəʊvədrɑːft/ 美:/ˈoʊvərdræft/","n. 透支, 透支额",
1741,"overcrowd","英:/əʊvəˈkraʊd/ 美:/ˌovɚˈkraʊd/","vt. 使过度拥挤；把…塞得太满

时 态:  
overcrowded，overcrowding，overcrowds",
1742,"overcharge","英:/əʊvə'tʃɑːdʒ/ 美:/ˌovɚ'tʃɑrdʒ/","- vt. 对…要价过高
- n. 过高的要价

时 态:  
overcharged, overcharging, overcharges",
1743,"overall","英:/ˌəʊvərˈɔːl/ 美:/ˌoʊvərˈɔːl/","- adj. 总体的；全面的；综合的
- 全面考虑的
- adv. 大体上，总的来说
- 一切包括在内，全部的
- n. 长罩衣
- 工装裤；工作裤",
1744,"oven","英:/ˈʌvn/ 美:/ˈʌvn/","n. 烤箱, 炉",
1745,"outweigh","英:/ˌaʊtˈweɪ/ 美:/ˌaʊtˈweɪ/","vt. 比…重（在重量上）；比…重要；比…有价值


时 态:  
outweighed, outweighing, outweighs",
1746,"outstanding","英:/aʊtˈstændɪŋ/ 美:/aʊtˈstændɪŋ/","- adj. 突出的；杰出的
- 未偿付的，未解决的
- 地位显著的；为人瞩目的

副 词:  
outstandingly",
1747,"outside","英:/aʊt'saɪd/ 美:/ˌaʊt'saɪd/","- adj. 外面的，外部的；外来的
- n. 外部；外观
- adv. 在外面，向外面；在室外
- prep. 在…范围之外",
1748,"outline","英:/ˈaʊtlaɪn/ 美:/ˈaʊtlaɪn/","- n. 轮廓；大纲；概要；略图
- vt. 概述；描画…轮廓；略述


时 态:  
outlined, outlining, outlines",
1749,"outlet","英:/ˈaʊtlet/ 美:/ˈaʊtlet/","- n. 出口, 出路
- 发泄的途径
- 经销店",
1750,"outgoing","英:/ˈaʊtɡəʊɪŋ/ 美:/ˈaʊtɡoʊɪŋ/","- adj. 对人友好的;开朗的
- 即将离职的",
1751,"outgo","英:/aʊt'gəʊ/ 美:/ˌaʊt'ɡo/","- v. 走得比…远或快,优于
- n. 支出,消耗

时 态:  
outwent 
outgone 
outgoing, outgoes",
1752,"outdoors","英:/ˌaʊtˈdɔːz/ 美:/ˌaʊtˈdɔːrz/","adv. 在户外",
1753,"outdoor","英:/ˈaʊtdɔː(r)/ 美:/ˈaʊtdɔːr/","- adj. 户外的, 露天的
- 喜欢户外活动的",
1754,"outdated","英:/ˌaʊtˈdeɪtɪd/ 美:/ˌaʊtˈdeɪtɪd/","- adj. 过时的；旧式的
- v. 使过时（outdate的过去式和过去分词）",
1755,"outcome","英:/ˈaʊtkʌm/ 美:/ˈaʊtkʌm/","n. 结果",
1756,"outage","英:/'aʊtɪdʒ/ 美:/'aʊtɪdʒ/","n. (尤指电力的)断供期;断供",
1757,"out of the question","","不值得讨论的, 不可能的",
1758,"out of the box","","",
1759,"ought","英:/ɔːt/ 美:/ɔt/","- aux.v. 应该(指道义上有责任)
- 应当(显示所采取行动正确或明智)
- 可能会; 预料会做(某事)",
1760,"otherwise","英:/ˈʌðəwaɪz/ 美:/ˈʌðərwaɪz/","adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后",
1761,"originally","英:/ə'rɪdʒɪn(ə)lɪ/ 美:/ə'rɪdʒənəli/","adv. 起初;原来",
1762,"original","英:/əˈrɪdʒənl/ 美:/əˈrɪdʒənl/","- n. 原物；原作；原型；原件
- adj. 原始的；最初的；新颖的；独创的",
1763,"orientation","英:/ˌɔːriənˈteɪʃn/ 美:/ˌɔːriənˈteɪʃn/","n. 方向；定向；向东方；适应；情况介绍",
1764,"organizer","英:/ˈɔ:gənaɪzə/ 美:/'ɔrgə,naɪzɚ/","- n. 组织者
- 备忘记事本;电子笔记本",
1765,"organize","英:/ˈɔːɡənaɪz/ 美:/ˈɔːrɡənaɪz/","- vt. 组织；使有系统化；给予生机；组织成立工会等
- vi. 成立组织；组织起来


时 态:  
organized, organizing, organizes 

名 词:  
organizer",
1766,"organizational","英:/ˌɔːɡənaɪˈzeɪʃənl/ 美:/ˌɔːrɡənəˈzeɪʃənl/","adj. 组织的",
1767,"organization","英:/ˌɔːɡənaɪˈzeɪʃn/ 美:/ˌɔːrɡənəˈzeɪʃn/","- n. 团体, 机构
- 组织
- 组织性, 系统性

形容词:  
organizational",
1768,"organic","英:/ɔːˈɡænɪk/ 美:/ɔːrˈɡænɪk/","- adj. 器官的；器质性的
- 有机(体)的，有机物的

副 词:  
organically",
1769,"ordered","英:/'ɔːdəd/ 美:/'ɔrdɚd/","- adj. 安排好的；整齐的；[数]有序的
- v. 命令；点餐（order的过去式和过去分词）",
1770,"order","英:/ˈɔːdə(r)/ 美:/ˈɔːrdər/","- n. 命令；顺序；定单；规则
- vt. 命令；定购；整理
- vi. 命令；定货


时 态:  
ordered, ordering, orders 

名 词:  
orderer",
1771,"orchestra","英:/ˈɔːkɪstrə/ 美:/ˈɔːrkɪstrə/","n. 管弦乐队

形容词:  
orchestral",
1772,"orbit","英:/ˈɔːbɪt/ 美:/ˈɔːrbɪt/","- n. 轨道；眼眶；势力范围；生活常规
- vi. 盘旋；绕轨道运行
- vt. 绕…轨道而行


时 态:  
orbited, orbiting, orbits",
1773,"orally","英:/'ɔ:rəli/ 美:/ˈorəlɪ/","adv. 口头上地,口述地",
1774,"optional","英:/ˈɒpʃənl/ 美:/ˈɑːpʃənl/","adj. 可选择的, 非强制的

副 词:  
optionally",
1775,"option","英:/ˈɒpʃn/ 美:/ˈɑːpʃn/","n. 选择权；选项；[经]买卖的特权


时 态:  
optioned, optioning, options",
1776,"optimistic","英:/ˌɒptɪˈmɪstɪk/ 美:/ˌɑːptɪˈmɪstɪk/","adj. 乐观的, 乐观主义的",
1777,"optical","英:/ˈɒptɪkl/ 美:/ˈɑːptɪkl/","adj. 光学的；眼睛的，视觉的


副 词:  
optically",
1778,"opposition","英:/ˌɒpəˈzɪʃn/ 美:/ˌɑːpəˈzɪʃn/","- n. 反对,敌对
- 对手,对抗者
- (尤指执政党最主要的)反对党,在野党
- 强烈反对(或抵制)某人/某事物
- 对比；对照
- adj. 反对的,对抗的
- n. 反对党人

形容词:  
oppositional",
1779,"opposite","英:/ˈɒpəzɪt/ 美:/ˈɑːpəzɪt/","- adj. 相反的；对面的；对立的
- n. 对立面；反义词
- prep. 在…的对面
- adv. 在对面


副 词:  
oppositely",
1780,"opportunity","英:/ˌɒpəˈtjuːnəti/ 美:/ˌɑːpərˈtuːnəti/","n. 机会, 时机",
1781,"opinion","英:/əˈpɪnjən/ 美:/əˈpɪnjən/","- n. 意见, 看法, 主张
- 舆论
- 评价, 印象
- 专业性的鉴定, 劝告",
1782,"operator","英:/ˈɒpəreɪtə(r)/ 美:/ˈɑːpəreɪtər/","n. 操作员；话务员；行家；经营者",
1783,"operation","英:/ˌɒpəˈreɪʃn/ 美:/ˌɑːpəˈreɪʃn/","- n. 操作, 运转, 经营
- 手术
- (军事)行动, 活动
- 〈数〉运算",
1784,"operating","英:/ˈɔpəˌreɪtɪŋ/ 美:/'ɑpəretɪŋ/","- adj. 操作的;营运的
- 业务上的
- 外科手术的",
1785,"operate","英:/ˈɒpəreɪt/ 美:/ˈɑːpəreɪt/","- vi. 运转；动手术；起作用
- vt. 操作；经营；对…开刀；引起


时 态:  
operated, operating, operates",
1786,"opera","英:/ˈɒprə/ 美:/ˈɑːprə/","- n. 歌剧
- 歌剧艺术, 歌剧业",
1787,"openness","英:/'əupənnis/ 美:/ˈopənnɪs/","- n. 空旷;开阔
- 公开
- 率真;(心胸)宽大",
1788,"opening","英:/ˈəʊpnɪŋ/ 美:/ˈoʊpnɪŋ/","- n. 开始；通路；机会；空缺的职位
- adj. 开始的
- v. 打开；公开；开放（open的ing形式）",
1789,"opener","英:/'əʊp(ə)nə/ 美:/'opnɚ/","n. 开启者;开启工具",
1790,"open","英:/ˈəʊpən/ 美:/ˈoʊpən/","- adj. 营业着的；敞开的；空旷的；公开的；坦率的
- vi. 开始；展现
- vt. 打开；公开
- n. 公开；空旷；户外


时 态:  
opened, opening, opens 

副 词:  
openly

名 词:  
openness",
1791,"opal","英:/ˈəupəl/ 美:/ˈopəl/","n. 猫眼石，蛋白石；乳白玻璃

Opal奥珀尔(女子名)

形容词:  
opaline",
1792,"onto","英:/ˈɒntə/ 美:/ˈɑːntə/","- prep. 向，朝，在……之上； 朝向，面向（某个方向）；映射到……上；（身体重心）移向；登上 （交通工具）；表示某人紧握或某物被紧握；对……了解，（对某人做的坏事）已经明白了；转向（新的话题）；成为……的一部分；将要发现[数]映射到…上
- adj. [数]映成的；映射的；自身的",
1793,"onset","英:/ˈɒnset/ 美:/ˈɑːnset/","- n. 开始
- 攻击,袭击",
1794,"onion","英:/ˈʌnjən/ 美:/ˈʌnjən/","- n. 洋葱(头)
- (食物)洋葱, 葱头",
1795,"ongoing","英:/ˈɒnɡəʊɪŋ/ 美:/ˈɑːnɡoʊɪŋ/","- adj. 前进的；不间断的，进行的
- n. 前进；行为，举止",
1796,"oneself","英:/wʌn'self/ 美:/wʌn'sɛlf/","pron. 自己；亲自",
1797,"one","英:/wʌn/ 美:/wʌn/","- num. (数字)一
- n. 一个人, 任何人, 人们
- (表示与别的对照)某一例〔类〕
- pron. 用于代替表示单个的事或人的名词或名词短语
- (表示某人的行为令人惊讶或滑稽)你可真行，可了不得
- 一致地；全体；同时
- (与…)完全一致，融为一体；赞同(…)
- 喜欢(或经常、长于)做某事
- 胜过一筹；强过某人
- (用于加强语气)我(或你等)就是其中之一
- 占上风； 胜过；占优势
- 一下子明白(或猜到)
- 喝多了
- 集于一身；合为一体
- 几乎可以肯定…(不)会做某事
- 一个接一个地；相继
- 各位；大家；每个人
- (用于强调)有名的，绝无仅有的， 唯一的
- (表示强调)就是同一个
- 一个接一个；逐一
- 都差不多；大同小异
- adj. 某一个
- 某一
- 同一个
- 惟一的",
1798,"on behalf of","","代表, 为了",
1799,"on account of","","因为, 由于",
1800,"omit","英:/əˈmɪt/ 美:/əˈmɪt/","- vt. 省略，遗漏；删掉
- 忘记做

时 态:  
omitted，omitting，omits",
1801,"olive","英:/ˈɒlɪv/ 美:/ˈɑːlɪv/","- n. 橄榄；橄榄色；橄榄树
- adj. 橄榄的；橄榄色的

Oliven. 奥利夫（女子名）

形容词:  
olive",
1802,"older","/'əuldə/","adj. 年长的",
1803,"old","英:/əʊld/ 美:/old/","- adj. 年老的；陈旧的，古老的
- n. 古时


比较级:  
older, oldest 

名 词:  
oldness",
1804,"oiler","英:/'ɒɪlə/ 美:/'ɔɪlɚ/","n. 油商；注油壶；涂油者",
1805,"oil","英:/ɒɪl/ 美:/ɔɪl/","- n. 油
- 石油
- 油画；油画颜料
- vt. 给…加油
- vi. 化成油

时 态:  
oiled，oiling，oils",
1806,"oh","英:/əʊ/ 美:/o/","int. 哦；哎呀（表示惊讶或恐惧等）",
1807,"often","英:/'ɒf(ə)n/ 美:/'ɔfn/","- adv. 常常；经常；时常
- 在大多数情况下

比较级:  
oftener，oftenest",
1808,"officially","英:/əˈfɪʃəli/ 美:/əˈfɪʃəli/","adv. 官方地,正式地",
1809,"official","英:/əˈfɪʃl/ 美:/əˈfɪʃl/","- n. 行政官员
- adj. 公务的, 公职的, 职权的
- 官方的, 正式的, 官方认可的

名 词:  
officialdom

副 词:  
officially",
1810,"officer","英:/ˈɒfɪsə(r)/ 美:/ˈɑːfɪsər/","- n. 军官
- (政府, 会社等的)高级官员[职员]",
1811,"office","英:/ˈɒfɪs/ 美:/ˈɑːfɪs/","n. 办公室；营业处；官职；政府机关",
1812,"offering","英:/ˈɒfərɪŋ/ 美:/ˈɔːfərɪŋ/","- n. 提供；祭品；奉献物；牲礼
- v. 提供（offer的ing形式）",
1813,"offer","英:/ˈɒfə(r)/ 美:/ˈɔːfər/","- v. 主动提出；自愿给予；提供；供应；奉献，祭献
- n. 主动提议；建议；出价；报价；（通常为短期的）减价，特价


时 态:  
offered，offering，offers 

名 词:  
offerer  or",
1814,"odor","英:/ˈəʊdə/ 美:/ˈodɚ/","n. 气味；名声",
1815,"ocean","英:/ˈəʊʃn/ 美:/ˈoʊʃn/","n. 海洋；广阔；[口]大量",
1816,"occur","英:/əˈkɜː(r)/ 美:/əˈkɜːr/","- vi. 发生；举行；存在
- 被发现；想到[起]

时 态:  
occurred，occurring，occurs",
1817,"occupy","英:/ˈɒkjupaɪ/ 美:/ˈɑːkjupaɪ/","vt. 占据，占领；使忙碌；居住


时 态:  
occupied, occupying, occupies 

名 词:  
occupier",
1818,"occupied","英:/ˈɒkjupaɪd/ 美:/ˈɑːkjupaɪd/","adj. 已占用的;在使用的;无空闲的",
1819,"occupation","英:/ˌɒkjuˈpeɪʃn/ 美:/ˌɑːkjuˈpeɪʃn/","- n. 工作; 职业
- 消遣
- 占领",
1820,"occasionally","英:/əˈkeɪʒnəli/ 美:/əˈkeɪʒnəli/","adv. 偶尔,间或",
1821,"occasional","英:/əˈkeɪʒənl/ 美:/əˈkeɪʒənl/","adj. 偶尔的, 不经常的",
1822,"occasion","英:/əˈkeɪʒn/ 美:/əˈkeɪʒn/","- n. 场合；时机，机会；理由
- vt. 引起，惹起


时 态:  
occasioned, occasioning, occasions",
1823,"obviously","英:/ˈɒbviəsli/ 美:/ˈɑːbviəsli/","adv. 显然;明白地",
1824,"obvious","英:/ˈɒbviəs/ 美:/ˈɑːbviəs/","adj. 明显的，显而易见的；平淡无奇的；明确表示的；合情合理的

副 词:  
obviously",
